transaction_id,transaction_date,posted_date,account_name,account_type,merchant_name,description,amount,currency,channel,city,state
TX000266,2024-03-14,2024-03-15,Chase Total Checking,checking,RIVERSIDE PUBLIC UTILITIES,RIVERSIDE PUB UTIL,-22.89,USD,Autopay,Riverside,CA
TX000464,2024-03-14,2024-03-16,Chase Freedom Unlimited,credit_card,STATER BROS,STATERBROS RIVERSIDE,-35.94,USD,Card,Riverside,CA
TX000961,2024-03-14,2024-03-14,Chase Freedom Unlimited,credit_card,UNIQLO,UNIQLO DEL AMO,-47.14,USD,Card,Torrance,CA
TX000463,2024-03-15,2024-03-17,Chase Freedom Unlimited,credit_card,COSTCO,COSTCO GAS/WHSE,-95.86,USD,Card,Moreno Valley,CA
TX000580,2024-03-15,2024-03-15,Chase Total Checking,checking,CHEVRON,CHEVRON GAS,-69.72,USD,Debit,Riverside,CA
TX000646,2024-03-15,2024-03-17,Chase Freedom Unlimited,credit_card,IN-N-OUT,IN N OUT BURGER,-22.5,USD,Card,Riverside,CA
TX000002,2024-03-16,2024-03-17,Chase Total Checking,checking,SPECTRUM INTERNET,SPECTRUM INTERNET AUTO PAY,-54.99,USD,Autopay,Riverside,CA
TX000647,2024-03-16,2024-03-17,Chase Freedom Unlimited,credit_card,IN-N-OUT,IN-N-OUT BURGER 165,-24.65,USD,Card,Riverside,CA
TX000649,2024-03-17,2024-03-17,Chase Freedom Unlimited,credit_card,IN-N-OUT,IN-N-OUT BURGER 165,-20.42,USD,Card,Riverside,CA
TX000782,2024-03-17,2024-03-17,Chase Freedom Unlimited,credit_card,THE COFFEE BEAN,COFFEEBEAN,-6.78,USD,Card,Riverside,CA
TX000003,2024-03-18,2024-03-18,Chase Total Checking,checking,T-MOBILE,T-MOBILE AUTOPAY,-35.0,USD,Autopay,Riverside,CA
TX001033,2024-03-18,2024-03-18,Chase Freedom Unlimited,credit_card,UBER,UBER EATS,-12.69,USD,Card,Los Angeles,CA
TX000004,2024-03-20,2024-03-20,Chase Total Checking,checking,GEICO,GEICO AUTO POLICY,-108.42,USD,Autopay,Riverside,CA
TX001136,2024-03-20,2024-03-21,Chase Freedom Unlimited,credit_card,TARGET,TARGET REFUND,34.19,USD,Card,Riverside,CA
TX000010,2024-03-22,2024-03-24,Chase Freedom Unlimited,credit_card,AMAZON PRIME,AMZN PRIME SUBSCRIPTION,-14.99,USD,Card,Seattle,CA
TX000314,2024-03-22,2024-03-22,Chase Total Checking,checking,UCR PAYROLL,UCR PAYROLL DIRECT DEP,1003.62,USD,Direct Deposit,Riverside,CA
TX001012,2024-03-23,2024-03-25,Chase Freedom Unlimited,credit_card,STEAM,STEAMGAMES,-31.95,USD,Card,Bellevue,CA
TX000581,2024-03-24,2024-03-24,Chase Total Checking,checking,SHELL,SHELL SERVICE STATION,-68.56,USD,Debit,Riverside,CA
TX001111,2024-03-24,2024-03-25,Chase Total Checking,checking,UCR PARKING,UCR PARKING PORTAL,-24.0,USD,Debit,Riverside,CA
TX000011,2024-03-25,2024-03-27,Chase Freedom Unlimited,credit_card,PLANET FITNESS,PLANET FITNESS CLUB FEES,-29.99,USD,Card,Riverside,CA
TX000461,2024-03-25,2024-03-27,Chase Freedom Unlimited,credit_card,COSTCO,COSTCO MEMBERSHIP STORE,-60.82,USD,Card,Moreno Valley,CA
TX000781,2024-03-25,2024-03-27,Chase Freedom Unlimited,credit_card,STARBUCKS,STARBUCKS STORE 1023,-3.76,USD,Card,Riverside,CA
TX000462,2024-03-26,2024-03-27,Chase Freedom Unlimited,credit_card,TRADER JOE'S,TRADERJOES STORE 182,-52.01,USD,Card,Riverside,CA
TX000780,2024-03-26,2024-03-27,Chase Freedom Unlimited,credit_card,THE COFFEE BEAN,COFFEEBEAN,-6.62,USD,Card,Riverside,CA
TX000005,2024-03-27,2024-03-29,Chase Freedom Unlimited,credit_card,APPLE SERVICES,APPLE SERVICES STORAGE,-2.99,USD,Card,Cupertino,CA
TX001035,2024-03-31,2024-03-31,Chase Freedom Unlimited,credit_card,UBER,UBER *TRIP,-15.98,USD,Card,Los Angeles,CA
TX000012,2024-04-01,2024-04-03,Chase Total Checking,checking,CAMPUS VIEW APTS,CAMPUS VIEW APTS RENT,-875.0,USD,ACH,Riverside,CA
TX000653,2024-04-02,2024-04-03,Chase Freedom Unlimited,credit_card,DOORDASH,DOORDASH*BURGERSPOT,-32.87,USD,Card,San Francisco,CA
TX001096,2024-04-03,2024-04-04,Chase Freedom Unlimited,credit_card,CVS PHARMACY,CVS DRUG STORE,-30.37,USD,Card,Riverside,CA
TX001112,2024-04-03,2024-04-05,Chase Total Checking,checking,UCR PARKING,UCR TRANSPORTATION,-18.0,USD,Debit,Riverside,CA
TX000017,2024-04-04,2024-04-05,Chase Freedom Unlimited,credit_card,NETFLIX,NETFLIX *STANDARD PLAN,-15.49,USD,Card,Los Gatos,CA
TX000654,2024-04-04,2024-04-05,Chase Freedom Unlimited,credit_card,PANDA EXPRESS,PANDA EXPRESS,-27.39,USD,Card,Riverside,CA
TX000315,2024-04-05,2024-04-06,Chase Total Checking,checking,UCR PAYROLL,UCR PAYROLL DIRECT DEP,940.7,USD,Direct Deposit,Riverside,CA
TX000964,2024-04-05,2024-04-06,Chase Freedom Unlimited,credit_card,UNIQLO,UNIQLO USA ONLINE,-83.54,USD,Card,Torrance,CA
TX001037,2024-04-05,2024-04-06,Chase Freedom Unlimited,credit_card,UBER,UBER EATS,-13.28,USD,Card,Los Angeles,CA
TX000395,2024-04-06,2024-04-06,Chase Total Checking,checking,CHASE TRANSFER,ONLINE TRANSFER TO CHASE SAVINGS,-175.0,USD,Transfer,Riverside,CA
TX000396,2024-04-06,2024-04-08,Chase Savings,savings,CHASE TRANSFER,ONLINE TRANSFER FROM CHASE CHECKING,175.0,USD,Transfer,Riverside,CA
TX000467,2024-04-06,2024-04-06,Chase Freedom Unlimited,credit_card,WHOLE FOODS,WHOLEFDS RIV 10234,-52.96,USD,Card,Riverside,CA
TX000018,2024-04-07,2024-04-07,Chase Freedom Unlimited,credit_card,SPOTIFY,SPOTIFY USA,-10.99,USD,Card,New York,CA
TX000019,2024-04-09,2024-04-09,Chase Freedom Unlimited,credit_card,DISNEY+,DISNEY+ BUNDLE,-13.99,USD,Card,Burbank,CA
TX000466,2024-04-09,2024-04-09,Chase Freedom Unlimited,credit_card,WHOLE FOODS,WHOLEFDS RIV 10234,-69.92,USD,Card,Riverside,CA
TX000789,2024-04-10,2024-04-11,Chase Freedom Unlimited,credit_card,THE COFFEE BEAN,COFFEE BEAN & TEA LEAF,-6.92,USD,Card,Riverside,CA
TX000791,2024-04-10,2024-04-11,Chase Freedom Unlimited,credit_card,STARBUCKS,STARBUCKS COFFEE,-6.16,USD,Card,Riverside,CA
TX000786,2024-04-11,2024-04-13,Chase Freedom Unlimited,credit_card,STARBUCKS,STARBUCKS #19456,-8.21,USD,Card,Riverside,CA
TX000790,2024-04-11,2024-04-13,Chase Freedom Unlimited,credit_card,STARBUCKS,STARBUCKS #19456,-5.12,USD,Card,Riverside,CA
TX000965,2024-04-11,2024-04-12,Chase Freedom Unlimited,credit_card,AMAZON,AMZN Mktp US,-37.34,USD,Card,Seattle,CA
TX000267,2024-04-12,2024-04-12,Chase Total Checking,checking,SCE,SCE AUTOPAY,-53.35,USD,Autopay,Rosemead,CA
TX000020,2024-04-14,2024-04-15,Chase Freedom Unlimited,credit_card,ADOBE,ADOBE CREATIVE CLOUD,-19.99,USD,Card,San Jose,CA
TX000268,2024-04-14,2024-04-15,Chase Total Checking,checking,RIVERSIDE PUBLIC UTILITIES,RIVERSIDE PUB UTIL,-32.21,USD,Autopay,Riverside,CA
TX000468,2024-04-14,2024-04-16,Chase Freedom Unlimited,credit_card,COSTCO,COSTCO MEMBERSHIP STORE,-43.62,USD,Card,Moreno Valley,CA
TX000650,2024-04-15,2024-04-16,Chase Freedom Unlimited,credit_card,IN-N-OUT,IN N OUT BURGER,-23.01,USD,Card,Riverside,CA
TX000013,2024-04-16,2024-04-16,Chase Total Checking,checking,SPECTRUM INTERNET,SPECTRUM INTERNET CHARGE,-54.99,USD,Autopay,Riverside,CA
TX000582,2024-04-16,2024-04-16,Chase Total Checking,checking,SHELL,SHELL SERVICE STATION,-44.49,USD,Debit,Riverside,CA
TX000583,2024-04-16,2024-04-16,Chase Total Checking,checking,SHELL,SHELL OIL 575104,-56.75,USD,Debit,Riverside,CA
TX001038,2024-04-16,2024-04-17,Chase Freedom Unlimited,credit_card,UBER,UBER EATS,-20.18,USD,Card,Los Angeles,CA
TX000784,2024-04-17,2024-04-19,Chase Freedom Unlimited,credit_card,THE COFFEE BEAN,COFFEE BEAN & TEA LEAF,-3.5,USD,Card,Riverside,CA
TX000788,2024-04-17,2024-04-19,Chase Freedom Unlimited,credit_card,THE COFFEE BEAN,COFFEEBEAN,-8.93,USD,Card,Riverside,CA
TX000014,2024-04-18,2024-04-20,Chase Total Checking,checking,T-MOBILE,T-MOBILE USA PMT,-35.0,USD,Autopay,Riverside,CA
TX000316,2024-04-19,2024-04-19,Chase Total Checking,checking,UCR PAYROLL,UCR CAMPUS EMPLOYMENT DD,993.38,USD,Direct Deposit,Riverside,CA
TX000656,2024-04-19,2024-04-20,Chase Freedom Unlimited,credit_card,IN-N-OUT,IN N OUT BURGER,-37.33,USD,Card,Riverside,CA
TX000015,2024-04-20,2024-04-20,Chase Total Checking,checking,GEICO,GEICO AUTO PMT,-108.42,USD,Autopay,Riverside,CA
TX000465,2024-04-20,2024-04-20,Chase Freedom Unlimited,credit_card,WHOLE FOODS,WHOLEFDS RIV 10234,-22.42,USD,Card,Riverside,CA
TX000963,2024-04-20,2024-04-20,Chase Freedom Unlimited,credit_card,TARGET,TARGET STORE #1824,-82.1,USD,Card,Riverside,CA
TX000021,2024-04-22,2024-04-23,Chase Freedom Unlimited,credit_card,AMAZON PRIME,AMAZON PRIME MEMBERSHIP,-14.99,USD,Card,Seattle,CA
TX000655,2024-04-24,2024-04-24,Chase Freedom Unlimited,credit_card,IN-N-OUT,IN N OUT BURGER,-9.57,USD,Card,Riverside,CA
TX000787,2024-04-24,2024-04-25,Chase Freedom Unlimited,credit_card,THE COFFEE BEAN,COFFEEBEAN,-4.31,USD,Card,Riverside,CA
TX000022,2024-04-25,2024-04-27,Chase Freedom Unlimited,credit_card,PLANET FITNESS,PLANETFITNESS MTHLY,-29.99,USD,Card,Riverside,CA
TX000652,2024-04-25,2024-04-27,Chase Freedom Unlimited,credit_card,DOORDASH,DOORDASH*WINGPLACE,-32.06,USD,Card,San Francisco,CA
TX000016,2024-04-27,2024-04-28,Chase Freedom Unlimited,credit_card,APPLE SERVICES,APPLE SERVICES ICLOUD+,-2.99,USD,Card,Cupertino,CA
TX001036,2024-04-28,2024-04-28,Chase Freedom Unlimited,credit_card,UBER,UBER TRIP HELP.UBER.COM,-14.98,USD,Card,Los Angeles,CA
TX000785,2024-04-29,2024-05-01,Chase Freedom Unlimited,credit_card,STARBUCKS,STARBUCKS #19456,-6.85,USD,Card,Riverside,CA
TX000651,2024-04-30,2024-05-01,Chase Freedom Unlimited,credit_card,DOORDASH,DOORDASH*THAIFOOD,-31.51,USD,Card,San Francisco,CA
TX000023,2024-05-01,2024-05-01,Chase Total Checking,checking,CAMPUS VIEW APTS,CAMPUS VIEW APTS ONLINE PAY,-875.0,USD,ACH,Riverside,CA
TX000660,2024-05-01,2024-05-01,Chase Freedom Unlimited,credit_card,DOORDASH,DOORDASH*THAIFOOD,-20.36,USD,Card,San Francisco,CA
TX000795,2024-05-02,2024-05-02,Chase Freedom Unlimited,credit_card,STARBUCKS,STARBUCKS STORE 1023,-4.78,USD,Card,Riverside,CA
TX001132,2024-05-02,2024-05-03,Chase Freedom Unlimited,credit_card,AMAZON,AMAZON REFUND,12.25,USD,Card,Riverside,CA
TX000317,2024-05-03,2024-05-03,Chase Total Checking,checking,UCR PAYROLL,UCR CAMPUS EMPLOYMENT DD,985.83,USD,Direct Deposit,Riverside,CA
TX000471,2024-05-03,2024-05-05,Chase Freedom Unlimited,credit_card,TRADER JOE'S,TRADER JOE'S RIVERSIDE,-51.85,USD,Card,Riverside,CA
TX000659,2024-05-03,2024-05-04,Chase Freedom Unlimited,credit_card,PANDA EXPRESS,PANDAEXPRESS,-13.46,USD,Card,Riverside,CA
TX000663,2024-05-03,2024-05-05,Chase Freedom Unlimited,credit_card,DOORDASH,DOORDASH*BURGERSPOT,-25.22,USD,Card,San Francisco,CA
TX000028,2024-05-04,2024-05-06,Chase Freedom Unlimited,credit_card,NETFLIX,NETFLIX.COM SUBSCRIPTION,-15.49,USD,Card,Los Gatos,CA
TX001014,2024-05-04,2024-05-04,Chase Freedom Unlimited,credit_card,AMC THEATRES,AMC ONLINE TICKETS,-43.0,USD,Card,Riverside,CA
TX001113,2024-05-04,2024-05-05,Chase Total Checking,checking,UCR PARKING,UCR PARKING PORTAL,-18.0,USD,Debit,Riverside,CA
TX000657,2024-05-05,2024-05-07,Chase Freedom Unlimited,credit_card,CHIPOTLE,CHIPOTLE MEXICAN GRILL,-9.54,USD,Card,Riverside,CA
TX000967,2024-05-05,2024-05-07,Chase Freedom Unlimited,credit_card,UNIQLO,UNIQLO DEL AMO,-65.04,USD,Card,Torrance,CA
TX000397,2024-05-06,2024-05-06,Chase Total Checking,checking,CHASE TRANSFER,ONLINE TRANSFER TO CHASE SAVINGS,-175.0,USD,Transfer,Riverside,CA
TX000398,2024-05-06,2024-05-06,Chase Savings,savings,CHASE TRANSFER,ONLINE TRANSFER FROM CHASE CHECKING,175.0,USD,Transfer,Riverside,CA
TX000029,2024-05-07,2024-05-09,Chase Freedom Unlimited,credit_card,SPOTIFY,SPOTIFY FAMILY PLAN,-10.99,USD,Card,New York,CA
TX000662,2024-05-07,2024-05-07,Chase Freedom Unlimited,credit_card,IN-N-OUT,IN-N-OUT BURGER 165,-24.21,USD,Card,Riverside,CA
TX001097,2024-05-07,2024-05-09,Chase Freedom Unlimited,credit_card,CVS PHARMACY,CVS PHARMACY,-20.19,USD,Card,Riverside,CA
TX000030,2024-05-09,2024-05-09,Chase Freedom Unlimited,credit_card,DISNEY+,DISNEYPLUS MONTHLY,-13.99,USD,Card,Burbank,CA
TX000585,2024-05-09,2024-05-11,Chase Total Checking,checking,SHELL,SHELL SERVICE STATION,-55.13,USD,Debit,Riverside,CA
TX000377,2024-05-10,2024-05-11,Chase Total Checking,checking,VENMO,VENMO TRANSFER,31.88,USD,Transfer,New York,CA
TX000469,2024-05-10,2024-05-11,Chase Freedom Unlimited,credit_card,WHOLE FOODS,WHOLEFDS RIV 10234,-74.75,USD,Card,Riverside,CA
TX000966,2024-05-11,2024-05-13,Chase Freedom Unlimited,credit_card,UNIQLO,UNIQLO.COM,-50.65,USD,Card,Torrance,CA
TX000269,2024-05-12,2024-05-13,Chase Total Checking,checking,SCE,SCE RESIDENTIAL BILL,-61.68,USD,Autopay,Rosemead,CA
TX000658,2024-05-13,2024-05-15,Chase Freedom Unlimited,credit_card,DOORDASH,DOORDASH*BURGERSPOT,-24.03,USD,Card,San Francisco,CA
TX001039,2024-05-13,2024-05-13,Chase Freedom Unlimited,credit_card,UBER,UBER EATS,-21.73,USD,Card,Los Angeles,CA
TX001040,2024-05-13,2024-05-14,Chase Freedom Unlimited,credit_card,UBER,UBER *TRIP,-16.53,USD,Card,Los Angeles,CA
TX000031,2024-05-14,2024-05-14,Chase Freedom Unlimited,credit_card,ADOBE,ADOBE CREATIVE CLOUD,-19.99,USD,Card,San Jose,CA
TX000270,2024-05-14,2024-05-16,Chase Total Checking,checking,RIVERSIDE PUBLIC UTILITIES,RIVERSIDE WATER AUTOPAY,-30.73,USD,Autopay,Riverside,CA
TX000797,2024-05-14,2024-05-16,Chase Freedom Unlimited,credit_card,STARBUCKS,STARBUCKS #19456,-3.99,USD,Card,Riverside,CA
TX000796,2024-05-15,2024-05-15,Chase Freedom Unlimited,credit_card,THE COFFEE BEAN,COFFEE BEAN UCR,-6.52,USD,Card,Riverside,CA
TX000024,2024-05-16,2024-05-17,Chase Total Checking,checking,SPECTRUM INTERNET,SPECTRUM MOBILE/INT BUNDLE,-54.99,USD,Autopay,Riverside,CA
TX000318,2024-05-17,2024-05-18,Chase Total Checking,checking,UCR PAYROLL,UCR PAYROLL DIRECT DEP,997.24,USD,Direct Deposit,Riverside,CA
TX000372,2024-05-17,2024-05-17,Chase Total Checking,checking,VENMO,VENMO TRANSFER,18.07,USD,Transfer,New York,CA
TX000586,2024-05-17,2024-05-19,Chase Total Checking,checking,SHELL,SHELL SERVICE STATION,-45.4,USD,Debit,Riverside,CA
TX000025,2024-05-18,2024-05-18,Chase Total Checking,checking,T-MOBILE,T-MOBILE WIRELESS,-35.0,USD,Autopay,Riverside,CA
TX000473,2024-05-18,2024-05-18,Chase Freedom Unlimited,credit_card,TRADER JOE'S,TRADERJOES STORE 182,-77.7,USD,Card,Riverside,CA
TX000793,2024-05-19,2024-05-21,Chase Freedom Unlimited,credit_card,THE COFFEE BEAN,COFFEE BEAN & TEA LEAF,-6.37,USD,Card,Riverside,CA
TX000026,2024-05-20,2024-05-20,Chase Total Checking,checking,GEICO,GEICO AUTO PMT,-108.42,USD,Autopay,Riverside,CA
TX000584,2024-05-20,2024-05-20,Chase Total Checking,checking,CHEVRON,CHEVRON 009381,-57.93,USD,Debit,Riverside,CA
TX000794,2024-05-21,2024-05-21,Chase Freedom Unlimited,credit_card,THE COFFEE BEAN,COFFEE BEAN & TEA LEAF,-7.11,USD,Card,Riverside,CA
TX000032,2024-05-22,2024-05-22,Chase Freedom Unlimited,credit_card,AMAZON PRIME,AMAZON PRIME MTH,-14.99,USD,Card,Seattle,CA
TX000472,2024-05-22,2024-05-22,Chase Freedom Unlimited,credit_card,TRADER JOE'S,TRADER JOE'S RIVERSIDE,-38.95,USD,Card,Riverside,CA
TX000470,2024-05-23,2024-05-24,Chase Freedom Unlimited,credit_card,STATER BROS,STATERBROS RIVERSIDE,-66.39,USD,Card,Riverside,CA
TX000033,2024-05-25,2024-05-25,Chase Freedom Unlimited,credit_card,PLANET FITNESS,PLANET FITNESS CLUB FEES,-29.99,USD,Card,Riverside,CA
TX000798,2024-05-25,2024-05-25,Chase Freedom Unlimited,credit_card,THE COFFEE BEAN,COFFEEBEAN,-6.07,USD,Card,Riverside,CA
TX000027,2024-05-27,2024-05-28,Chase Freedom Unlimited,credit_card,APPLE SERVICES,APPLE SERVICES STORAGE,-2.99,USD,Card,Cupertino,CA
TX000386,2024-05-28,2024-05-29,Chase Total Checking,checking,VENMO,VENMO PAYMENT FROM FRIEND,42.28,USD,Transfer,New York,CA
TX001042,2024-05-28,2024-05-29,Chase Freedom Unlimited,credit_card,UBER,UBER *TRIP,-9.15,USD,Card,Los Angeles,CA
TX000319,2024-05-31,2024-06-01,Chase Total Checking,checking,UCR PAYROLL,UNIV CA RIVERSIDE PAYROLL,990.12,USD,Direct Deposit,Riverside,CA
TX000661,2024-05-31,2024-06-01,Chase Freedom Unlimited,credit_card,IN-N-OUT,IN N OUT BURGER,-24.29,USD,Card,Riverside,CA
TX000792,2024-05-31,2024-05-31,Chase Freedom Unlimited,credit_card,STARBUCKS,STARBUCKS COFFEE,-7.14,USD,Card,Riverside,CA
TX001041,2024-05-31,2024-05-31,Chase Freedom Unlimited,credit_card,UBER,UBER EATS,-24.87,USD,Card,Los Angeles,CA
TX000034,2024-06-01,2024-06-02,Chase Total Checking,checking,CAMPUS VIEW APTS,CAMPUS VIEW APTS ONLINE PAY,-875.0,USD,ACH,Riverside,CA
TX000667,2024-06-02,2024-06-02,Chase Freedom Unlimited,credit_card,PANDA EXPRESS,PANDA EXPRESS,-30.64,USD,Card,Riverside,CA
TX000039,2024-06-04,2024-06-04,Chase Freedom Unlimited,credit_card,NETFLIX,NETFLIX.COM SUBSCRIPTION,-15.49,USD,Card,Los Gatos,CA
TX001114,2024-06-04,2024-06-05,Chase Total Checking,checking,UCR PARKING,UCR TRANSPORTATION,-24.0,USD,Debit,Riverside,CA
TX000799,2024-06-05,2024-06-06,Chase Freedom Unlimited,credit_card,STARBUCKS,STARBUCKS COFFEE,-4.8,USD,Card,Riverside,CA
TX000399,2024-06-06,2024-06-06,Chase Total Checking,checking,CHASE TRANSFER,ONLINE TRANSFER TO CHASE SAVINGS,-200.0,USD,Transfer,Riverside,CA
TX000400,2024-06-06,2024-06-07,Chase Savings,savings,CHASE TRANSFER,ONLINE TRANSFER FROM CHASE CHECKING,200.0,USD,Transfer,Riverside,CA
TX000475,2024-06-06,2024-06-08,Chase Freedom Unlimited,credit_card,STATER BROS,STATERBROS RIVERSIDE,-60.21,USD,Card,Riverside,CA
TX000666,2024-06-06,2024-06-07,Chase Freedom Unlimited,credit_card,IN-N-OUT,IN-N-OUT #165,-18.56,USD,Card,Riverside,CA
TX000040,2024-06-07,2024-06-07,Chase Freedom Unlimited,credit_card,SPOTIFY,SPOTIFY USA 877-778-1161,-10.99,USD,Card,New York,CA
TX000968,2024-06-07,2024-06-07,Chase Freedom Unlimited,credit_card,UNIQLO,UNIQLO DEL AMO,-48.04,USD,Card,Torrance,CA
TX000041,2024-06-09,2024-06-09,Chase Freedom Unlimited,credit_card,DISNEY+,DISNEY PLUS,-13.99,USD,Card,Burbank,CA
TX000478,2024-06-09,2024-06-09,Chase Freedom Unlimited,credit_card,COSTCO,COSTCO GAS/WHSE,-34.54,USD,Card,Moreno Valley,CA
TX000804,2024-06-09,2024-06-10,Chase Freedom Unlimited,credit_card,THE COFFEE BEAN,COFFEE BEAN & TEA LEAF,-4.5,USD,Card,Riverside,CA
TX000801,2024-06-11,2024-06-13,Chase Freedom Unlimited,credit_card,STARBUCKS,STARBUCKS #19456,-8.23,USD,Card,Riverside,CA
TX000802,2024-06-11,2024-06-12,Chase Freedom Unlimited,credit_card,THE COFFEE BEAN,COFFEEBEAN,-8.0,USD,Card,Riverside,CA
TX000271,2024-06-12,2024-06-13,Chase Total Checking,checking,SCE,SCE AUTOPAY,-74.23,USD,Autopay,Rosemead,CA
TX000807,2024-06-12,2024-06-12,Chase Freedom Unlimited,credit_card,THE COFFEE BEAN,COFFEE BEAN UCR,-6.48,USD,Card,Riverside,CA
TX000373,2024-06-13,2024-06-14,Chase Total Checking,checking,VENMO,VENMO TRANSFER,101.71,USD,Transfer,New York,CA
TX000969,2024-06-13,2024-06-14,Chase Freedom Unlimited,credit_card,UNIQLO,UNIQLO DEL AMO,-107.44,USD,Card,Torrance,CA
TX001015,2024-06-13,2024-06-13,Chase Freedom Unlimited,credit_card,STEAM,STEAMGAMES,-19.6,USD,Card,Bellevue,CA
TX000042,2024-06-14,2024-06-15,Chase Freedom Unlimited,credit_card,ADOBE,ADOBE CREATIVE CLOUD,-19.99,USD,Card,San Jose,CA
TX000272,2024-06-14,2024-06-15,Chase Total Checking,checking,RIVERSIDE PUBLIC UTILITIES,RIVERSIDE PUB UTIL,-28.12,USD,Autopay,Riverside,CA
TX000320,2024-06-14,2024-06-15,Chase Total Checking,checking,UCR PAYROLL,UCR CAMPUS EMPLOYMENT DD,1065.94,USD,Direct Deposit,Riverside,CA
TX000587,2024-06-14,2024-06-14,Chase Total Checking,checking,CHEVRON,CHEVRON GAS,-43.94,USD,Debit,Riverside,CA
TX000477,2024-06-15,2024-06-16,Chase Freedom Unlimited,credit_card,STATER BROS,STATERBROS RIVERSIDE,-42.74,USD,Card,Riverside,CA
TX000035,2024-06-16,2024-06-17,Chase Total Checking,checking,SPECTRUM INTERNET,SPECTRUM INTERNET CHARGE,-54.99,USD,Autopay,Riverside,CA
TX000379,2024-06-17,2024-06-18,Chase Total Checking,checking,VENMO,VENMO PAYMENT FROM FRIEND,102.37,USD,Transfer,New York,CA
TX000036,2024-06-18,2024-06-19,Chase Total Checking,checking,T-MOBILE,T-MOBILE AUTOPAY,-35.0,USD,Autopay,Riverside,CA
TX001147,2024-06-18,2024-06-18,Chase Freedom Unlimited,credit_card,AMTRAK,AMTRAK TICKET,-86.4,USD,Card,Los Angeles,CA
TX000808,2024-06-19,2024-06-20,Chase Freedom Unlimited,credit_card,THE COFFEE BEAN,COFFEE BEAN UCR,-9.96,USD,Card,Riverside,CA
TX000970,2024-06-19,2024-06-20,Chase Freedom Unlimited,credit_card,TARGET,TARGET STORE #1824,-71.71,USD,Card,Riverside,CA
TX001016,2024-06-19,2024-06-19,Chase Freedom Unlimited,credit_card,STEAM,STEAM PURCHASE,-26.47,USD,Card,Bellevue,CA
TX000037,2024-06-20,2024-06-20,Chase Total Checking,checking,GEICO,GEICO AUTO PMT,-108.42,USD,Autopay,Riverside,CA
TX000665,2024-06-20,2024-06-20,Chase Freedom Unlimited,credit_card,PANDA EXPRESS,PANDA EXPRESS #2201,-25.54,USD,Card,Riverside,CA
TX000803,2024-06-20,2024-06-20,Chase Freedom Unlimited,credit_card,THE COFFEE BEAN,COFFEE BEAN & TEA LEAF,-7.22,USD,Card,Riverside,CA
